IncidentNumber,CalYear_mob,HourOfCall_mob,ResourceMobilisationId_mob,Resource_Code_mob,PerformanceReporting_mob,DateAndTimeMobilised_mob,DateAndTimeMobile_mob,DateAndTimeArrived_mob,TurnoutTimeSeconds_mob,TravelTimeSeconds_mob,AttendanceTimeSeconds_mob,DateAndTimeLeft_mob,DateAndTimeReturned_mob,DeployedFromStation_Code_mob,DeployedFromStation_Name_mob,DeployedFromLocation_mob,PumpOrder_mob,PlusCode_Code_mob,PlusCode_Description_mob,DelayCodeId_mob,DelayCode_Description_mob,DateOfCall_inc,TimeOfCall_inc,IncidentGroup_inc,StopCodeDescription_inc,SpecialServiceType_inc,PropertyCategory_inc,PropertyType_inc,AddressQualifier_inc,Postcode_full_inc,Postcode_district_inc,UPRN_inc,USRN_inc,IncGeo_BoroughCode_inc,IncGeo_BoroughName_inc,ProperCase_inc,IncGeo_WardCode_inc,IncGeo_WardName_inc,IncGeo_WardNameNew_inc,Easting_m_inc,Northing_m_inc,Easting_rounded_inc,Northing_rounded_inc,Latitude_inc,Longitude_inc,FRS_inc,IncidentStationGround_inc,FirstPumpArriving_AttendanceTime_inc,FirstPumpArriving_DeployedFromStation_inc,SecondPumpArriving_AttendanceTime_inc,SecondPumpArriving_DeployedFromStation_inc,NumStationsWithPumpsAttending_inc,NumPumpsAttending_inc,PumpCount_inc,PumpHoursRoundUp_inc,Notional Cost (£)_inc,NumCalls_inc,name,station_latitude,station_longitude,Date,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
000362-01012020,2020,15,5547964,F211,1,01/01/2020 15:32:23,01/01/2020 15:33:23,01/01/2020 15:34:47,60.0,84.0,144,01/01/2020 15:56:39,,F21,Stratford,Home Station,1,Initial,Initial Mobilisation,,,01 Jan 2020,15:32:22,Special Service,Special Service,Flooding,Other Residential,Retirement/Old Persons Home,Correct incident location,E15 4DT,E15,10008998340,22201425,E09000025,NEWHAM,Newham,E05013924,Stratford,Stratford,539307.0,184490.0,539350,184450,51.5421282862,0.0074626438,London,Stratford,144.0,Stratford,,,1.0,1.0,1.0,1.0,339.0,1.0,Stratford,51.5433581,0.011352,2020-01-01,7.0,2.7,5.4,6.5,1.4,4.5,3.6,88.2,0.001,100.0,4.17,rain,0.0,0.0,,8.6,144.8,1029.4,92.8,5.4,8.8,0.7,0,,2020-01-01 08:06:17,2020-01-01 16:01:35,0.2,"Rain, Overcast",Cloudy skies throughout the day with morning rain.,rain,"03769099999,03680099999,D5621,03672099999,03781099999,03772099999,03770099999"
000361-01012020,2020,15,5547962,A402,2,01/01/2020 15:32:15,01/01/2020 15:32:58,01/01/2020 15:35:22,43.0,144.0,187,01/01/2020 15:42:08,,A40,Hendon,Home Station,2,Initial,Initial Mobilisation,,,01 Jan 2020,15:32:15,Fire,Primary Fire,,Other Residential,Retirement/Old Persons Home,Correct incident location,NW4 1QS,NW4,200227749,20033900,E09000003,BARNET,Barnet,E05013643,Hendon,Hendon,523352.0,189610.0,523350,189650,51.591856862,-0.2206917574,London,Hendon,181.0,Hendon,187.0,Hendon,1.0,2.0,2.0,1.0,339.0,3.0,Hendon,51.5887194,-0.2283786,2020-01-01,7.0,2.7,5.4,6.5,1.4,4.5,3.6,88.2,0.001,100.0,4.17,rain,0.0,0.0,,8.6,144.8,1029.4,92.8,5.4,8.8,0.7,0,,2020-01-01 08:06:17,2020-01-01 16:01:35,0.2,"Rain, Overcast",Cloudy skies throughout the day with morning rain.,rain,"03769099999,03680099999,D5621,03672099999,03781099999,03772099999,03770099999"
000361-01012020,2020,15,5547963,A401,1,01/01/2020 15:32:15,01/01/2020 15:33:10,01/01/2020 15:35:16,55.0,126.0,181,01/01/2020 15:41:11,,A40,Hendon,Home Station,1,Initial,Initial Mobilisation,,,01 Jan 2020,15:32:15,Fire,Primary Fire,,Other Residential,Retirement/Old Persons Home,Correct incident location,NW4 1QS,NW4,200227749,20033900,E09000003,BARNET,Barnet,E05013643,Hendon,Hendon,523352.0,189610.0,523350,189650,51.591856862,-0.2206917574,London,Hendon,181.0,Hendon,187.0,Hendon,1.0,2.0,2.0,1.0,339.0,3.0,Hendon,51.5887194,-0.2283786,2020-01-01,7.0,2.7,5.4,6.5,1.4,4.5,3.6,88.2,0.001,100.0,4.17,rain,0.0,0.0,,8.6,144.8,1029.4,92.8,5.4,8.8,0.7,0,,2020-01-01 08:06:17,2020-01-01 16:01:35,0.2,"Rain, Overcast",Cloudy skies throughout the day with morning rain.,rain,"03769099999,03680099999,D5621,03672099999,03781099999,03772099999,03770099999"
000360-01012020,2020,15,5547961,H341,2,01/01/2020 15:32:10,01/01/2020 15:33:10,01/01/2020 15:38:18,60.0,308.0,368,01/01/2020 15:50:13,,H34,Wimbledon,Home Station,2,Initial,Initial Mobilisation,,,01 Jan 2020,15:32:09,False Alarm,AFA,,Non Residential,Hospital ,Within same building,SW17 0QT,SW17,10033239065,22900509,E09000032,WANDSWORTH,Wandsworth,E05014024,Tooting Broadway,Tooting Broadway,527100.0,171425.0,527150,171450,51.4275938775,-0.1731579396,London,Tooting,300.0,Tooting,368.0,Wimbledon,2.0,2.0,2.0,1.0,339.0,1.0,Tooting,51.4381207,-0.1626161,2020-01-01,7.0,2.7,5.4,6.5,1.4,4.5,3.6,88.2,0.001,100.0,4.17,rain,0.0,0.0,,8.6,144.8,1029.4,92.8,5.4,8.8,0.7,0,,2020-01-01 08:06:17,2020-01-01 16:01:35,0.2,"Rain, Overcast",Cloudy skies throughout the day with morning rain.,rain,"03769099999,03680099999,D5621,03672099999,03781099999,03772099999,03770099999"
000378-01012020,2020,16,5547980,E351,1,01/01/2020 16:02:10,01/01/2020 16:03:41,01/01/2020 16:08:10,91.0,269.0,360,01/01/2020 16:35:09,,E35,Old Kent Road,Home Station,1,Initial,Initial Mobilisation,,,01 Jan 2020,16:02:10,Special Service,Special Service,Animal assistance incidents,Non Residential,Infant/Primary school,Correct incident location,SE15 1QP,SE15,200003378821,22500242,E09000028,SOUTHWARK,Southwark,E05011109,OLD KENT ROAD,OLD KENT ROAD,534576.0,177468.0,534550,177450,51.4801723948,-0.0633923703,London,Old Kent Road,360.0,Old Kent Road,,,1.0,1.0,1.0,1.0,339.0,1.0,Old Kent Road,51.4856881,-0.0707807999999999,2020-01-01,7.0,2.7,5.4,6.5,1.4,4.5,3.6,88.2,0.001,100.0,4.17,rain,0.0,0.0,,8.6,144.8,1029.4,92.8,5.4,8.8,0.7,0,,2020-01-01 08:06:17,2020-01-01 16:01:35,0.2,"Rain, Overcast",Cloudy skies throughout the day with morning rain.,rain,"03769099999,03680099999,D5621,03672099999,03781099999,03772099999,03770099999"
000360-01012020,2020,15,5547960,H352,1,01/01/2020 15:32:10,01/01/2020 15:33:11,01/01/2020 15:37:10,61.0,239.0,300,01/01/2020 15:45:50,,H35,Tooting,Home Station,1,Initial,Initial Mobilisation,,,01 Jan 2020,15:32:09,False Alarm,AFA,,Non Residential,Hospital ,Within same building,SW17 0QT,SW17,10033239065,22900509,E09000032,WANDSWORTH,Wandsworth,E05014024,Tooting Broadway,Tooting Broadway,527100.0,171425.0,527150,171450,51.4275938775,-0.1731579396,London,Tooting,300.0,Tooting,368.0,Wimbledon,2.0,2.0,2.0,1.0,339.0,1.0,Tooting,51.4381207,-0.1626161,2020-01-01,7.0,2.7,5.4,6.5,1.4,4.5,3.6,88.2,0.001,100.0,4.17,rain,0.0,0.0,,8.6,144.8,1029.4,92.8,5.4,8.8,0.7,0,,2020-01-01 08:06:17,2020-01-01 16:01:35,0.2,"Rain, Overcast",Cloudy skies throughout the day with morning rain.,rain,"03769099999,03680099999,D5621,03672099999,03781099999,03772099999,03770099999"
000356-01012020,2020,15,5547952,G351,Not Used,01/01/2020 15:11:27,01/01/2020 15:12:12,01/01/2020 15:15:59,45.0,227.0,272,01/01/2020 16:14:24,,G35,Fulham,Home Station,3,Initial,Initial Mobilisation,,,01 Jan 2020,15:11:27,Fire,Primary Fire,,Dwelling,Purpose Built Flats/Maisonettes - 4 to 9 storeys ,Correct incident location,,W6,0,21000411,E09000013,HAMMERSMITH AND FULHAM,Hammersmith And fulham,E05013735,Brook Green,Brook Green,,,523750,178750,,,London,Hammersmith,161.0,Hammersmith,177.0,Hammersmith,4.0,5.0,5.0,6.0,2034.0,1.0,Hammersmith,51.49561740000001,-0.2242547,2020-01-01,7.0,2.7,5.4,6.5,1.4,4.5,3.6,88.2,0.001,100.0,4.17,rain,0.0,0.0,,8.6,144.8,1029.4,92.8,5.4,8.8,0.7,0,,2020-01-01 08:06:17,2020-01-01 16:01:35,0.2,"Rain, Overcast",Cloudy skies throughout the day with morning rain.,rain,"03769099999,03680099999,D5621,03672099999,03781099999,03772099999,03770099999"
000356-01012020,2020,15,5547953,G371,Not Used,01/01/2020 15:11:27,01/01/2020 15:12:41,01/01/2020 15:18:04,74.0,323.0,397,01/01/2020 15:55:40,,G37,Chiswick,Home Station,5,Initial,Initial Mobilisation,,,01 Jan 2020,15:11:27,Fire,Primary Fire,,Dwelling,Purpose Built Flats/Maisonettes - 4 to 9 storeys ,Correct incident location,,W6,0,21000411,E09000013,HAMMERSMITH AND FULHAM,Hammersmith And fulham,E05013735,Brook Green,Brook Green,,,523750,178750,,,London,Hammersmith,161.0,Hammersmith,177.0,Hammersmith,4.0,5.0,5.0,6.0,2034.0,1.0,Hammersmith,51.49561740000001,-0.2242547,2020-01-01,7.0,2.7,5.4,6.5,1.4,4.5,3.6,88.2,0.001,100.0,4.17,rain,0.0,0.0,,8.6,144.8,1029.4,92.8,5.4,8.8,0.7,0,,2020-01-01 08:06:17,2020-01-01 16:01:35,0.2,"Rain, Overcast",Cloudy skies throughout the day with morning rain.,rain,"03769099999,03680099999,D5621,03672099999,03781099999,03772099999,03770099999"
000356-01012020,2020,15,5547951,G331,Not Used,01/01/2020 15:11:27,01/01/2020 15:12:33,01/01/2020 15:16:27,66.0,234.0,300,01/01/2020 16:01:59,,G33,Kensington,Home Station,4,Initial,Initial Mobilisation,,,01 Jan 2020,15:11:27,Fire,Primary Fire,,Dwelling,Purpose Built Flats/Maisonettes - 4 to 9 storeys ,Correct incident location,,W6,0,21000411,E09000013,HAMMERSMITH AND FULHAM,Hammersmith And fulham,E05013735,Brook Green,Brook Green,,,523750,178750,,,London,Hammersmith,161.0,Hammersmith,177.0,Hammersmith,4.0,5.0,5.0,6.0,2034.0,1.0,Hammersmith,51.49561740000001,-0.2242547,2020-01-01,7.0,2.7,5.4,6.5,1.4,4.5,3.6,88.2,0.001,100.0,4.17,rain,0.0,0.0,,8.6,144.8,1029.4,92.8,5.4,8.8,0.7,0,,2020-01-01 08:06:17,2020-01-01 16:01:35,0.2,"Rain, Overcast",Cloudy skies throughout the day with morning rain.,rain,"03769099999,03680099999,D5621,03672099999,03781099999,03772099999,03770099999"
000356-01012020,2020,15,5547950,G361,2,01/01/2020 15:11:27,01/01/2020 15:12:35,01/01/2020 15:14:24,68.0,109.0,177,01/01/2020 16:31:04,,G36,Hammersmith,Home Station,2,Initial,Initial Mobilisation,,,01 Jan 2020,15:11:27,Fire,Primary Fire,,Dwelling,Purpose Built Flats/Maisonettes - 4 to 9 storeys ,Correct incident location,,W6,0,21000411,E09000013,HAMMERSMITH AND FULHAM,Hammersmith And fulham,E05013735,Brook Green,Brook Green,,,523750,178750,,,London,Hammersmith,161.0,Hammersmith,177.0,Hammersmith,4.0,5.0,5.0,6.0,2034.0,1.0,Hammersmith,51.49561740000001,-0.2242547,2020-01-01,7.0,2.7,5.4,6.5,1.4,4.5,3.6,88.2,0.001,100.0,4.17,rain,0.0,0.0,,8.6,144.8,1029.4,92.8,5.4,8.8,0.7,0,,2020-01-01 08:06:17,2020-01-01 16:01:35,0.2,"Rain, Overcast",Cloudy skies throughout the day with morning rain.,rain,"03769099999,03680099999,D5621,03672099999,03781099999,03772099999,03770099999"
000356-01012020,2020,15,5547949,G362,1,01/01/2020 15:11:27,01/01/2020 15:12:45,01/01/2020 15:14:08,78.0,83.0,161,01/01/2020 16:28:56,,G36,Hammersmith,Home Station,1,Initial,Initial Mobilisation,,,01 Jan 2020,15:11:27,Fire,Primary Fire,,Dwelling,Purpose Built Flats/Maisonettes - 4 to 9 storeys ,Correct incident location,,W6,0,21000411,E09000013,HAMMERSMITH AND FULHAM,Hammersmith And fulham,E05013735,Brook Green,Brook Green,,,523750,178750,,,London,Hammersmith,161.0,Hammersmith,177.0,Hammersmith,4.0,5.0,5.0,6.0,2034.0,1.0,Hammersmith,51.49561740000001,-0.2242547,2020-01-01,7.0,2.7,5.4,6.5,1.4,4.5,3.6,88.2,0.001,100.0,4.17,rain,0.0,0.0,,8.6,144.8,1029.4,92.8,5.4,8.8,0.7,0,,2020-01-01 08:06:17,2020-01-01 16:01:35,0.2,"Rain, Overcast",Cloudy skies throughout the day with morning rain.,rain,"03769099999,03680099999,D5621,03672099999,03781099999,03772099999,03770099999"
000355-01012020,2020,15,5547946,A322,2,01/01/2020 15:08:18,01/01/2020 15:11:20,01/01/2020 15:14:39,182.0,199.0,381,01/01/2020 15:20:57,,A32,Hornsey,Home Station,2,Initial,Initial Mobilisation,,,01 Jan 2020,15:08:18,Special Service,Special Service,RTC,Road Vehicle,Bus/coach ,In street close to gazetteer location,N13 4NJ,N13,207048962,20704632,E09000010,ENFIELD,Enfield,E05013672,Arnos Grove,Arnos Grove,530532.0,192095.0,530550,192050,51.6125689516,-0.116177741,London,Southgate,293.0,Southgate,381.0,Hornsey,2.0,2.0,2.0,1.0,339.0,2.0,Southgate,51.6287664,-0.1276211,2020-01-01,7.0,2.7,5.4,6.5,1.4,4.5,3.6,88.2,0.001,100.0,4.17,rain,0.0,0.0,,8.6,144.8,1029.4,92.8,5.4,8.8,0.7,0,,2020-01-01 08:06:17,2020-01-01 16:01:35,0.2,"Rain, Overcast",Cloudy skies throughout the day with morning rain.,rain,"03769099999,03680099999,D5621,03672099999,03781099999,03772099999,03770099999"
000355-01012020,2020,15,5547945,A361,1,01/01/2020 15:08:18,01/01/2020 15:11:53,01/01/2020 15:13:11,215.0,78.0,293,01/01/2020 15:21:18,,A36,Southgate,Home Station,1,Initial,Initial Mobilisation,,,01 Jan 2020,15:08:18,Special Service,Special Service,RTC,Road Vehicle,Bus/coach ,In street close to gazetteer location,N13 4NJ,N13,207048962,20704632,E09000010,ENFIELD,Enfield,E05013672,Arnos Grove,Arnos Grove,530532.0,192095.0,530550,192050,51.6125689516,-0.116177741,London,Southgate,293.0,Southgate,381.0,Hornsey,2.0,2.0,2.0,1.0,339.0,2.0,Southgate,51.6287664,-0.1276211,2020-01-01,7.0,2.7,5.4,6.5,1.4,4.5,3.6,88.2,0.001,100.0,4.17,rain,0.0,0.0,,8.6,144.8,1029.4,92.8,5.4,8.8,0.7,0,,2020-01-01 08:06:17,2020-01-01 16:01:35,0.2,"Rain, Overcast",Cloudy skies throughout the day with morning rain.,rain,"03769099999,03680099999,D5621,03672099999,03781099999,03772099999,03770099999"
000354-01012020,2020,15,5547944,G251,1,01/01/2020 15:07:18,01/01/2020 15:08:34,01/01/2020 15:10:26,76.0,112.0,188,01/01/2020 15:17:28,,G25,Ealing,Home Station,1,Initial,Initial Mobilisation,,,01 Jan 2020,15:07:18,Special Service,Special Service,Effecting entry/exit,Dwelling,House - single occupancy ,Within same building,,W13,0,20600140,E09000009,EALING,Ealing,E05013525,Hanwell Broadway,Hanwell Broadway,,,516650,180550,,,London,Ealing,188.0,Ealing,,,1.0,1.0,1.0,1.0,339.0,1.0,Ealing,51.5112876,-0.3169384,2020-01-01,7.0,2.7,5.4,6.5,1.4,4.5,3.6,88.2,0.001,100.0,4.17,rain,0.0,0.0,,8.6,144.8,1029.4,92.8,5.4,8.8,0.7,0,,2020-01-01 08:06:17,2020-01-01 16:01:35,0.2,"Rain, Overcast",Cloudy skies throughout the day with morning rain.,rain,"03769099999,03680099999,D5621,03672099999,03781099999,03772099999,03770099999"
000351-01012020,2020,14,5547943,E351,2,01/01/2020 14:56:41,01/01/2020 14:57:03,01/01/2020 15:00:58,22.0,235.0,257,01/01/2020 15:04:51,,E35,Old Kent Road,Home Station,2,Initial,Initial Mobilisation,,,01 Jan 2020,14:56:40,False Alarm,AFA,,Dwelling,Purpose Built Flats/Maisonettes - Up to 3 storeys ,Correct incident location,,SE15,0,22500608,E09000028,SOUTHWARK,Southwark,E05011108,NUNHEAD & QUEEN'S ROAD,NUNHEAD & QUEEN'S ROAD,,,534750,176550,,,London,New Cross,216.0,Peckham,257.0,Old Kent Road,3.0,3.0,3.0,1.0,339.0,1.0,Peckham,51.4738692,-0.0779786,2020-01-01,7.0,2.7,5.4,6.5,1.4,4.5,3.6,88.2,0.001,100.0,4.17,rain,0.0,0.0,,8.6,144.8,1029.4,92.8,5.4,8.8,0.7,0,,2020-01-01 08:06:17,2020-01-01 16:01:35,0.2,"Rain, Overcast",Cloudy skies throughout the day with morning rain.,rain,"03769099999,03680099999,D5621,03672099999,03781099999,03772099999,03770099999"
000351-01012020,2020,14,5547942,E371,1,01/01/2020 14:56:41,01/01/2020 14:57:41,01/01/2020 15:00:17,60.0,156.0,216,01/01/2020 15:10:30,,E37,Peckham,Home Station,1,Initial,Initial Mobilisation,,,01 Jan 2020,14:56:40,False Alarm,AFA,,Dwelling,Purpose Built Flats/Maisonettes - Up to 3 storeys ,Correct incident location,,SE15,0,22500608,E09000028,SOUTHWARK,Southwark,E05011108,NUNHEAD & QUEEN'S ROAD,NUNHEAD & QUEEN'S ROAD,,,534750,176550,,,London,New Cross,216.0,Peckham,257.0,Old Kent Road,3.0,3.0,3.0,1.0,339.0,1.0,Peckham,51.4738692,-0.0779786,2020-01-01,7.0,2.7,5.4,6.5,1.4,4.5,3.6,88.2,0.001,100.0,4.17,rain,0.0,0.0,,8.6,144.8,1029.4,92.8,5.4,8.8,0.7,0,,2020-01-01 08:06:17,2020-01-01 16:01:35,0.2,"Rain, Overcast",Cloudy skies throughout the day with morning rain.,rain,"03769099999,03680099999,D5621,03672099999,03781099999,03772099999,03770099999"
000351-01012020,2020,14,5547941,E381,Not Used,01/01/2020 14:56:41,01/01/2020 14:57:51,01/01/2020 15:02:03,70.0,252.0,322,01/01/2020 15:05:32,,E38,New Cross,Home Station,3,Initial,Initial Mobilisation,,,01 Jan 2020,14:56:40,False Alarm,AFA,,Dwelling,Purpose Built Flats/Maisonettes - Up to 3 storeys ,Correct incident location,,SE15,0,22500608,E09000028,SOUTHWARK,Southwark,E05011108,NUNHEAD & QUEEN'S ROAD,NUNHEAD & QUEEN'S ROAD,,,534750,176550,,,London,New Cross,216.0,Peckham,257.0,Old Kent Road,3.0,3.0,3.0,1.0,339.0,1.0,Peckham,51.4738692,-0.0779786,2020-01-01,7.0,2.7,5.4,6.5,1.4,4.5,3.6,88.2,0.001,100.0,4.17,rain,0.0,0.0,,8.6,144.8,1029.4,92.8,5.4,8.8,0.7,0,,2020-01-01 08:06:17,2020-01-01 16:01:35,0.2,"Rain, Overcast",Cloudy skies throughout the day with morning rain.,rain,"03769099999,03680099999,D5621,03672099999,03781099999,03772099999,03770099999"
000347-01012020,2020,14,5547940,G362,2,01/01/2020 14:52:35,01/01/2020 14:54:18,01/01/2020 14:58:50,103.0,272.0,375,01/01/2020 15:02:52,,G36,Hammersmith,Home Station,2,Initial,Initial Mobilisation,,,01 Jan 2020,14:52:34,False Alarm,False alarm - Good intent,,Dwelling,Converted Flat/Maisonettes - 3 or more storeys,Within same building,,W14,0,21000637,E09000013,HAMMERSMITH AND FULHAM,Hammersmith And fulham,E05013751,West Kensington,West Kensington,,,524450,178050,,,London,Hammersmith,261.0,Fulham,375.0,Hammersmith,2.0,2.0,2.0,1.0,339.0,1.0,Fulham,51.47484919999999,-0.2064386,2020-01-01,7.0,2.7,5.4,6.5,1.4,4.5,3.6,88.2,0.001,100.0,4.17,rain,0.0,0.0,,8.6,144.8,1029.4,92.8,5.4,8.8,0.7,0,,2020-01-01 08:06:17,2020-01-01 16:01:35,0.2,"Rain, Overcast",Cloudy skies throughout the day with morning rain.,rain,"03769099999,03680099999,D5621,03672099999,03781099999,03772099999,03770099999"
000347-01012020,2020,14,5547939,G351,1,01/01/2020 14:52:35,01/01/2020 14:53:45,01/01/2020 14:56:56,70.0,191.0,261,01/01/2020 15:04:02,,G35,Fulham,Home Station,1,Initial,Initial Mobilisation,,,01 Jan 2020,14:52:34,False Alarm,False alarm - Good intent,,Dwelling,Converted Flat/Maisonettes - 3 or more storeys,Within same building,,W14,0,21000637,E09000013,HAMMERSMITH AND FULHAM,Hammersmith And fulham,E05013751,West Kensington,West Kensington,,,524450,178050,,,London,Hammersmith,261.0,Fulham,375.0,Hammersmith,2.0,2.0,2.0,1.0,339.0,1.0,Fulham,51.47484919999999,-0.2064386,2020-01-01,7.0,2.7,5.4,6.5,1.4,4.5,3.6,88.2,0.001,100.0,4.17,rain,0.0,0.0,,8.6,144.8,1029.4,92.8,5.4,8.8,0.7,0,,2020-01-01 08:06:17,2020-01-01 16:01:35,0.2,"Rain, Overcast",Cloudy skies throughout the day with morning rain.,rain,"03769099999,03680099999,D5621,03672099999,03781099999,03772099999,03770099999"
000357-01012020,2020,15,5547955,G341,1,01/01/2020 15:14:00,01/01/2020 15:15:19,01/01/2020 15:18:33,79.0,194.0,273,01/01/2020 15:28:58,,G34,Chelsea,Home Station,1,Initial,Initial Mobilisation,,,01 Jan 2020,15:14:00,Special Service,Special Service,Flooding,Dwelling,Purpose Built Flats/Maisonettes - 4 to 9 storeys ,Correct incident location,,SW1V,0,8401890,E09000033,WESTMINSTER,Westminster,E05013803,Pimlico South,Pimlico South,,,528750,178450,,,London,Chelsea,273.0,Chelsea,,,1.0,1.0,1.0,1.0,339.0,1.0,Chelsea,51.4864648,-0.1714008,2020-01-01,7.0,2.7,5.4,6.5,1.4,4.5,3.6,88.2,0.001,100.0,4.17,rain,0.0,0.0,,8.6,144.8,1029.4,92.8,5.4,8.8,0.7,0,,2020-01-01 08:06:17,2020-01-01 16:01:35,0.2,"Rain, Overcast",Cloudy skies throughout the day with morning rain.,rain,"03769099999,03680099999,D5621,03672099999,03781099999,03772099999,03770099999"
000345-01012020,2020,14,5547938,A322,1,01/01/2020 14:50:21,01/01/2020 14:51:04,01/01/2020 14:54:17,43.0,193.0,236,01/01/2020 14:57:35,,A32,Hornsey,Home Station,1,Initial,Initial Mobilisation,,,01 Jan 2020,14:50:20,False Alarm,AFA,,Non Residential,Pub/wine bar/bar ,Within same building,N22 7SS,N22,100023179934,21105091,E09000014,HARINGEY,Haringey,E05013586,Bounds Green,Bounds Green,530328.0,190496.0,530350,190450,51.5982418556,-0.1197074183,London,Hornsey,236.0,Hornsey,,,1.0,1.0,1.0,1.0,339.0,3.0,Hornsey,51.58668520000001,-0.1276433,2020-01-01,7.0,2.7,5.4,6.5,1.4,4.5,3.6,88.2,0.001,100.0,4.17,rain,0.0,0.0,,8.6,144.8,1029.4,92.8,5.4,8.8,0.7,0,,2020-01-01 08:06:17,2020-01-01 16:01:35,0.2,"Rain, Overcast",Cloudy skies throughout the day with morning rain.,rain,"03769099999,03680099999,D5621,03672099999,03781099999,03772099999,03770099999"
000379-01012020,2020,16,5547981,A332,1,01/01/2020 16:03:10,01/01/2020 16:04:17,01/01/2020 16:05:43,67.0,86.0,153,01/01/2020 16:20:59,,A33,Tottenham,Home Station,1,Initial,Initial Mobilisation,,,01 Jan 2020,16:03:10,Special Service,Special Service,Flooding,Dwelling,Purpose Built Flats/Maisonettes - Up to 3 storeys ,Correct incident location,,N17,0,21104920,E09000014,HARINGEY,Haringey,E05013587,Bruce Castle,Bruce Castle,,,533850,190450,,,London,Tottenham,153.0,Tottenham,,,1.0,1.0,1.0,1.0,339.0,1.0,Tottenham,51.5930371,-0.0741508,2020-01-01,7.0,2.7,5.4,6.5,1.4,4.5,3.6,88.2,0.001,100.0,4.17,rain,0.0,0.0,,8.6,144.8,1029.4,92.8,5.4,8.8,0.7,0,,2020-01-01 08:06:17,2020-01-01 16:01:35,0.2,"Rain, Overcast",Cloudy skies throughout the day with morning rain.,rain,"03769099999,03680099999,D5621,03672099999,03781099999,03772099999,03770099999"
